State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Assam,LAKHIMPUR,2008,Kharif     ,Arhar/Tur,54.00,37.00
Assam,LAKHIMPUR,2008,Kharif     ,Castor seed,128.00,58.00
Assam,LAKHIMPUR,2008,Kharif     ,Cotton(lint),13.00,5.00
Assam,LAKHIMPUR,2008,Kharif     ,Jute,412.00,2459.00
Assam,LAKHIMPUR,2008,Kharif     ,Maize,155.00,93.00
Assam,LAKHIMPUR,2008,Kharif     ,Mesta,14.00,55.00
Assam,LAKHIMPUR,2008,Kharif     ,Niger seed,6.00,3.00
Assam,LAKHIMPUR,2008,Kharif     ,Sesamum,277.00,98.00
Assam,LAKHIMPUR,2008,Kharif     ,Small millets,32.00,18.00
Assam,LAKHIMPUR,2008,Rabi       ,Blackgram,1515.00,1079.00
Assam,LAKHIMPUR,2008,Rabi       ,Gram,9.00,4.00
Assam,LAKHIMPUR,2008,Rabi       ,Linseed,15.00,5.00
Assam,LAKHIMPUR,2008,Rabi       ,Masoor,1282.00,590.00
Assam,LAKHIMPUR,2008,Rabi       ,Moong(Green Gram),307.00,136.00
Assam,LAKHIMPUR,2008,Rabi       ,Peas & beans (Pulses),2130.00,991.00
Assam,LAKHIMPUR,2008,Rabi       ,Rapeseed &Mustard,24670.00,13257.00
Assam,LAKHIMPUR,2008,Rabi       ,Urad,1515.00,1079.00
Assam,LAKHIMPUR,2008,Rabi       ,Wheat,456.00,346.00
Assam,LAKHIMPUR,2008,Summer     ,Rice,17070.00,14008.00
Assam,LAKHIMPUR,2008,Whole Year ,Arecanut,2791.00,2563.00
Assam,LAKHIMPUR,2008,Whole Year ,Banana,4095.00,56514.00
Assam,LAKHIMPUR,2008,Whole Year ,Black pepper,70.00,107.00
Assam,LAKHIMPUR,2008,Whole Year ,Coconut ,288.00,3006000.00
Assam,LAKHIMPUR,2008,Whole Year ,Dry chillies,681.00,379.00
Assam,LAKHIMPUR,2008,Whole Year ,Dry ginger,420.00,3211.00
Assam,LAKHIMPUR,2008,Whole Year ,Onion,206.00,548.00
Assam,LAKHIMPUR,2008,Whole Year ,Potato,5008.00,25012.00
Assam,LAKHIMPUR,2008,Whole Year ,Sugarcane,334.00,12043.00
Assam,LAKHIMPUR,2008,Whole Year ,Sweet potato,117.00,363.00
Assam,LAKHIMPUR,2008,Whole Year ,Tapioca,207.00,879.00
Assam,LAKHIMPUR,2008,Whole Year ,Tobacco,20.00,12.00
Assam,LAKHIMPUR,2008,Whole Year ,Turmeric,785.00,511.00
Assam,LAKHIMPUR,2008,Winter     ,Rice,91240.00,56370.00
Assam,LAKHIMPUR,2009,Autumn     ,Rice,15547.00,12263.00
Assam,LAKHIMPUR,2009,Kharif     ,Arhar/Tur,50.00,35.00
Assam,LAKHIMPUR,2009,Kharif     ,Castor seed,50.00,22.00
Assam,LAKHIMPUR,2009,Kharif     ,Cotton(lint),30.00,13.00
Assam,LAKHIMPUR,2009,Kharif     ,Jute,378.00,2476.00
Assam,LAKHIMPUR,2009,Kharif     ,Maize,150.00,90.00
Assam,LAKHIMPUR,2009,Kharif     ,Mesta,11.00,43.00
Assam,LAKHIMPUR,2009,Kharif     ,Niger seed,6.00,3.00
Assam,LAKHIMPUR,2009,Kharif     ,Sesamum,255.00,92.00
Assam,LAKHIMPUR,2009,Kharif     ,Small millets,8.00,5.00
Assam,LAKHIMPUR,2009,Rabi       ,Banana,1668.00,22130.00
Assam,LAKHIMPUR,2009,Rabi       ,Gram,30.00,12.00
Assam,LAKHIMPUR,2009,Rabi       ,Linseed,12.00,4.00
Assam,LAKHIMPUR,2009,Rabi       ,Masoor,1324.00,609.00
Assam,LAKHIMPUR,2009,Rabi       ,Moong(Green Gram),372.00,166.00
Assam,LAKHIMPUR,2009,Rabi       ,Peas & beans (Pulses),2040.00,882.00
Assam,LAKHIMPUR,2009,Rabi       ,Rapeseed &Mustard,23428.00,11252.00
Assam,LAKHIMPUR,2009,Rabi       ,Urad,1513.00,734.00
Assam,LAKHIMPUR,2009,Rabi       ,Wheat,422.00,118.00
Assam,LAKHIMPUR,2009,Summer     ,Rice,15572.00,11320.00
Assam,LAKHIMPUR,2009,Whole Year ,Arecanut,3013.00,3964.00
Assam,LAKHIMPUR,2009,Whole Year ,Banana,1668.00,22130.00
Assam,LAKHIMPUR,2009,Whole Year ,Black pepper,73.00,110.00
Assam,LAKHIMPUR,2009,Whole Year ,Coconut ,298.00,2440000.00
Assam,LAKHIMPUR,2009,Whole Year ,Dry chillies,617.00,343.00
Assam,LAKHIMPUR,2009,Whole Year ,Dry ginger,420.00,3211.00
Assam,LAKHIMPUR,2009,Whole Year ,Onion,210.00,559.00
Assam,LAKHIMPUR,2009,Whole Year ,Potato,5177.00,27940.00
Assam,LAKHIMPUR,2009,Whole Year ,Sugarcane,341.00,12731.00
Assam,LAKHIMPUR,2009,Whole Year ,Sweet potato,93.00,289.00
Assam,LAKHIMPUR,2009,Whole Year ,Tapioca,26.00,111.00
Assam,LAKHIMPUR,2009,Whole Year ,Tobacco,11.00,7.00
Assam,LAKHIMPUR,2009,Whole Year ,Turmeric,863.00,561.00
Assam,LAKHIMPUR,2009,Winter     ,Rice,104655.00,153688.00
Assam,LAKHIMPUR,2010,Autumn     ,Rice,15557.00,11121.00
Assam,LAKHIMPUR,2010,Kharif     ,Arhar/Tur,218.00,153.00
Assam,LAKHIMPUR,2010,Kharif     ,Castor seed,133.00,59.00
Assam,LAKHIMPUR,2010,Kharif     ,Cotton(lint),10.00,4.00
Assam,LAKHIMPUR,2010,Kharif     ,Jute,360.00,2365.00
Assam,LAKHIMPUR,2010,Kharif     ,Maize,155.00,93.00
Assam,LAKHIMPUR,2010,Kharif     ,Mesta,8.00,32.00
Assam,LAKHIMPUR,2010,Kharif     ,Niger seed,20.00,10.00
Assam,LAKHIMPUR,2010,Kharif     ,Sesamum,275.00,98.00
Assam,LAKHIMPUR,2010,Kharif     ,Small millets,35.00,20.00
Assam,LAKHIMPUR,2010,Rabi       ,Arecanut,3013.00,3964.00
Assam,LAKHIMPUR,2010,Rabi       ,Banana,3970.00,53002.00
Assam,LAKHIMPUR,2010,Rabi       ,Gram,23.00,9.00
Assam,LAKHIMPUR,2010,Rabi       ,Linseed,20.00,7.00
Assam,LAKHIMPUR,2010,Rabi       ,Masoor,1222.00,563.00
Assam,LAKHIMPUR,2010,Rabi       ,Moong(Green Gram),326.00,145.00
Assam,LAKHIMPUR,2010,Rabi       ,Peas & beans (Pulses),1942.00,847.00
Assam,LAKHIMPUR,2010,Rabi       ,Rapeseed &Mustard,23830.00,21793.00
Assam,LAKHIMPUR,2010,Rabi       ,Urad,1586.00,821.00
Assam,LAKHIMPUR,2010,Rabi       ,Wheat,83.00,45.00
Assam,LAKHIMPUR,2010,Summer     ,Rice,16675.00,17622.00
Assam,LAKHIMPUR,2010,Whole Year ,Banana,3970.00,53002.00
Assam,LAKHIMPUR,2010,Whole Year ,Black pepper,178.00,271.00
Assam,LAKHIMPUR,2010,Whole Year ,Coconut ,298.00,2440000.00
Assam,LAKHIMPUR,2010,Whole Year ,Dry chillies,600.00,333.00
Assam,LAKHIMPUR,2010,Whole Year ,Dry ginger,366.00,2798.00
Assam,LAKHIMPUR,2010,Whole Year ,Onion,220.00,585.00
Assam,LAKHIMPUR,2010,Whole Year ,Potato,4588.00,24417.00
Assam,LAKHIMPUR,2010,Whole Year ,Sugarcane,345.00,15817.00
Assam,LAKHIMPUR,2010,Whole Year ,Sweet potato,125.00,388.00
Assam,LAKHIMPUR,2010,Whole Year ,Tapioca,127.00,540.00
Assam,LAKHIMPUR,2010,Whole Year ,Tobacco,8.00,5.00
Assam,LAKHIMPUR,2010,Whole Year ,Turmeric,845.00,550.00
Assam,LAKHIMPUR,2010,Winter     ,Rice,108330.00,217671.00
Assam,LAKHIMPUR,2011,Autumn     ,Paddy,14499.00,13871.00
Assam,LAKHIMPUR,2011,Autumn     ,Rice,14499.00,13871.00
Assam,LAKHIMPUR,2011,Kharif     ,Arhar/Tur,121.00,92.00
Assam,LAKHIMPUR,2011,Kharif     ,Castor seed,101.00,56.00
Assam,LAKHIMPUR,2011,Kharif     ,Cotton(lint),5.00,2.00
Assam,LAKHIMPUR,2011,Kharif     ,Jute,143.00,1062.00
Assam,LAKHIMPUR,2011,Kharif     ,Maize,140.00,95.00
Assam,LAKHIMPUR,2011,Kharif     ,Mesta,25.00,142.00
Assam,LAKHIMPUR,2011,Kharif     ,Niger seed,2.00,3.00
Assam,LAKHIMPUR,2011,Kharif     ,Orange,97.00,993.00
Assam,LAKHIMPUR,2011,Kharif     ,Papaya,184.00,3780.00
Assam,LAKHIMPUR,2011,Kharif     ,Sesamum,253.00,111.00
Assam,LAKHIMPUR,2011,Kharif     ,Small millets,58.00,38.00
Assam,LAKHIMPUR,2011,Kharif     ,Tapioca,53.00,455.00
Assam,LAKHIMPUR,2011,Kharif     ,Tobacco,10.00,6.00
Assam,LAKHIMPUR,2011,Rabi       ,Arecanut,2457.00,1654.00
Assam,LAKHIMPUR,2011,Rabi       ,Black pepper,554.00,865.00
Assam,LAKHIMPUR,2011,Rabi       ,Dry chillies,480.00,375.00
Assam,LAKHIMPUR,2011,Rabi       ,Ginger,441.00,3393.00
Assam,LAKHIMPUR,2011,Rabi       ,Gram,20.00,9.00
Assam,LAKHIMPUR,2011,Rabi       ,Linseed,25.00,9.00
Assam,LAKHIMPUR,2011,Rabi       ,Masoor,153.00,78.00
Assam,LAKHIMPUR,2011,Rabi       ,Moong(Green Gram),842.00,428.00
Assam,LAKHIMPUR,2011,Rabi       ,Peas & beans (Pulses),990.00,443.00
Assam,LAKHIMPUR,2011,Rabi       ,Pineapple,328.00,4680.00
Assam,LAKHIMPUR,2011,Rabi       ,Rapeseed &Mustard,25453.00,14265.00
Assam,LAKHIMPUR,2011,Rabi       ,Sweet potato,245.00,798.00
Assam,LAKHIMPUR,2011,Rabi       ,Urad,2343.00,1253.00
Assam,LAKHIMPUR,2011,Rabi       ,Wheat,79.00,83.00
Assam,LAKHIMPUR,2011,Summer     ,Paddy,21815.00,36479.00
Assam,LAKHIMPUR,2011,Summer     ,Rice,21815.00,36479.00
Assam,LAKHIMPUR,2011,Whole Year ,Banana,2425.00,35028.00
Assam,LAKHIMPUR,2011,Whole Year ,Coconut ,278.00,2417.00
Assam,LAKHIMPUR,2011,Whole Year ,Onion,226.00,640.00
Assam,LAKHIMPUR,2011,Whole Year ,Potato,14075.00,87584.00
Assam,LAKHIMPUR,2011,Whole Year ,Sugarcane,311.00,19136.00
Assam,LAKHIMPUR,2011,Whole Year ,Turmeric,890.00,616.00
Assam,LAKHIMPUR,2011,Winter     ,Paddy,114250.00,210176.00
Assam,LAKHIMPUR,2011,Winter     ,Rice,114250.00,210176.00
Assam,LAKHIMPUR,2012,Autumn     ,Paddy,14829.00,16891.00
Assam,LAKHIMPUR,2012,Autumn     ,Rice,14829.00,16891.00
Assam,LAKHIMPUR,2012,Kharif     ,Arhar/Tur,48.00,41.00
Assam,LAKHIMPUR,2012,Kharif     ,Castor seed,84.00,49.00
Assam,LAKHIMPUR,2012,Kharif     ,Cotton(lint),20.00,9.00
Assam,LAKHIMPUR,2012,Kharif     ,Jute,98.00,839.00
Assam,LAKHIMPUR,2012,Kharif     ,Maize,165.00,125.00
Assam,LAKHIMPUR,2012,Kharif     ,Mesta,21.00,87.00
Assam,LAKHIMPUR,2012,Kharif     ,Niger seed,8.00,5.00
Assam,LAKHIMPUR,2012,Kharif     ,Orange,118.00,1329.00
Assam,LAKHIMPUR,2012,Kharif     ,Papaya,186.00,3991.00
Assam,LAKHIMPUR,2012,Kharif     ,Sesamum,250.00,105.00
Assam,LAKHIMPUR,2012,Kharif     ,Small millets,73.00,48.00
Assam,LAKHIMPUR,2012,Kharif     ,Tapioca,49.00,426.00
Assam,LAKHIMPUR,2012,Kharif     ,Tobacco,5.00,3.00
Assam,LAKHIMPUR,2012,Rabi       ,Arecanut,2675.00,1743.00
Assam,LAKHIMPUR,2012,Rabi       ,Black pepper,537.00,899.00
Assam,LAKHIMPUR,2012,Rabi       ,Dry chillies,510.00,444.00
Assam,LAKHIMPUR,2012,Rabi       ,Ginger,467.00,3641.00
Assam,LAKHIMPUR,2012,Rabi       ,Gram,39.00,18.00
Assam,LAKHIMPUR,2012,Rabi       ,Linseed,11.00,4.00
Assam,LAKHIMPUR,2012,Rabi       ,Masoor,515.00,286.00
Assam,LAKHIMPUR,2012,Rabi       ,Moong(Green Gram),575.00,326.00
Assam,LAKHIMPUR,2012,Rabi       ,Peas & beans (Pulses),1808.00,835.00
Assam,LAKHIMPUR,2012,Rabi       ,Pineapple,333.00,5118.00
Assam,LAKHIMPUR,2012,Rabi       ,Rapeseed &Mustard,37900.00,25954.00
Assam,LAKHIMPUR,2012,Rabi       ,Sweet potato,245.00,887.00
Assam,LAKHIMPUR,2012,Rabi       ,Urad,1566.00,1060.00
Assam,LAKHIMPUR,2012,Rabi       ,Wheat,12.00,16.00
Assam,LAKHIMPUR,2012,Summer     ,Rice,19372.00,44526.00
Assam,LAKHIMPUR,2012,Whole Year ,Banana,2310.00,37988.00
Assam,LAKHIMPUR,2012,Whole Year ,Coconut ,292.00,1641.00
Assam,LAKHIMPUR,2012,Whole Year ,Onion,215.00,633.00
Assam,LAKHIMPUR,2012,Whole Year ,Potato,11837.00,87633.00
Assam,LAKHIMPUR,2012,Whole Year ,Sugarcane,330.00,16394.00
Assam,LAKHIMPUR,2012,Whole Year ,Turmeric,888.00,677.00
Assam,LAKHIMPUR,2012,Winter     ,Paddy,111100.00,249676.00
Assam,LAKHIMPUR,2012,Winter     ,Rice,111100.00,249676.00
Assam,LAKHIMPUR,2013,Autumn     ,Paddy,13000.00,19615.00
Assam,LAKHIMPUR,2013,Autumn     ,Rice,13000.00,19615.00
Assam,LAKHIMPUR,2013,Kharif     ,Arhar/Tur,34.00,29.00
Assam,LAKHIMPUR,2013,Kharif     ,Castor seed,80.00,43.00
Assam,LAKHIMPUR,2013,Kharif     ,Cotton(lint),18.00,7.00
Assam,LAKHIMPUR,2013,Kharif     ,Jute,110.00,1130.00
Assam,LAKHIMPUR,2013,Kharif     ,Maize,165.00,565.00
Assam,LAKHIMPUR,2013,Kharif     ,Mesta,10.00,41.00
Assam,LAKHIMPUR,2013,Kharif     ,Niger seed,3.00,2.00
Assam,LAKHIMPUR,2013,Kharif     ,Orange,73.00,822.00
Assam,LAKHIMPUR,2013,Kharif     ,Papaya,237.00,5085.00
Assam,LAKHIMPUR,2013,Kharif     ,Sesamum,160.00,75.00
Assam,LAKHIMPUR,2013,Kharif     ,Small millets,45.00,26.00
Assam,LAKHIMPUR,2013,Kharif     ,Tapioca,42.00,365.00
Assam,LAKHIMPUR,2013,Kharif     ,Tobacco,5.00,3.00
Assam,LAKHIMPUR,2013,Rabi       ,Arecanut,2677.00,1818.00
Assam,LAKHIMPUR,2013,Rabi       ,Black pepper,534.00,1428.00
Assam,LAKHIMPUR,2013,Rabi       ,Dry chillies,345.00,301.00
Assam,LAKHIMPUR,2013,Rabi       ,Ginger,472.00,3680.00
Assam,LAKHIMPUR,2013,Rabi       ,Gram,7.00,3.00
Assam,LAKHIMPUR,2013,Rabi       ,Linseed,10.00,5.00
Assam,LAKHIMPUR,2013,Rabi       ,Masoor,200.00,111.00
Assam,LAKHIMPUR,2013,Rabi       ,Moong(Green Gram),328.00,188.00
Assam,LAKHIMPUR,2013,Rabi       ,Peas & beans (Pulses),1478.00,910.00
Assam,LAKHIMPUR,2013,Rabi       ,Pineapple,279.00,4288.00
Assam,LAKHIMPUR,2013,Rabi       ,Rapeseed &Mustard,22999.00,16701.00
Assam,LAKHIMPUR,2013,Rabi       ,Sweet potato,178.00,645.00
Assam,LAKHIMPUR,2013,Rabi       ,Urad,2744.00,1678.00
Assam,LAKHIMPUR,2013,Rabi       ,Wheat,13.00,12.00
Assam,LAKHIMPUR,2013,Summer     ,Paddy,16400.00,25187.00
Assam,LAKHIMPUR,2013,Summer     ,Rice,16400.00,25187.00
Assam,LAKHIMPUR,2013,Whole Year ,Banana,2717.00,44681.00
Assam,LAKHIMPUR,2013,Whole Year ,Coconut ,292.00,995.00
Assam,LAKHIMPUR,2013,Whole Year ,Onion,160.00,471.00
Assam,LAKHIMPUR,2013,Whole Year ,Potato,10148.00,70412.00
Assam,LAKHIMPUR,2013,Whole Year ,Sugarcane,310.00,14494.00
Assam,LAKHIMPUR,2013,Whole Year ,Turmeric,900.00,685.00
Assam,LAKHIMPUR,2013,Winter     ,Paddy,111700.00,215763.00
Assam,LAKHIMPUR,2013,Winter     ,Rice,111700.00,215763.00
Assam,LAKHIMPUR,2014,Autumn     ,Paddy,6861.00,10015.00
Assam,LAKHIMPUR,2014,Autumn     ,Rice,6861.00,10015.00
Assam,LAKHIMPUR,2014,Kharif     ,Arhar/Tur,30.00,36.00
Assam,LAKHIMPUR,2014,Kharif     ,Castor seed,75.00,47.00
Assam,LAKHIMPUR,2014,Kharif     ,Cotton(lint),8.00,3.00
Assam,LAKHIMPUR,2014,Kharif     ,Jute,37.00,406.00
Assam,LAKHIMPUR,2014,Kharif     ,Maize,103.00,462.00
Assam,LAKHIMPUR,2014,Kharif     ,Mesta,4.00,18.00
Assam,LAKHIMPUR,2014,Kharif     ,Niger seed,3.00,2.00
Assam,LAKHIMPUR,2014,Kharif     ,Orange,63.00,710.00
Assam,LAKHIMPUR,2014,Kharif     ,Papaya,165.00,3541.00
Assam,LAKHIMPUR,2014,Kharif     ,Sesamum,165.00,116.00
Assam,LAKHIMPUR,2014,Kharif     ,Small millets,40.00,33.00
Assam,LAKHIMPUR,2014,Kharif     ,Tapioca,22.00,191.00
Assam,LAKHIMPUR,2014,Kharif     ,Tobacco,6.00,4.00
Assam,LAKHIMPUR,2014,Rabi       ,Black pepper,485.00,817.00
Assam,LAKHIMPUR,2014,Rabi       ,Dry chillies,395.00,347.00
Assam,LAKHIMPUR,2014,Rabi       ,Ginger,500.00,3906.00
Assam,LAKHIMPUR,2014,Rabi       ,Gram,7.00,4.00
Assam,LAKHIMPUR,2014,Rabi       ,Linseed,20.00,13.00
Assam,LAKHIMPUR,2014,Rabi       ,Masoor,348.00,348.00
Assam,LAKHIMPUR,2014,Rabi       ,Moong(Green Gram),510.00,510.00
Assam,LAKHIMPUR,2014,Rabi       ,Peas & beans (Pulses),1590.00,1431.00
Assam,LAKHIMPUR,2014,Rabi       ,Pineapple,140.00,2151.00
Assam,LAKHIMPUR,2014,Rabi       ,Rapeseed &Mustard,25020.00,19582.00
Assam,LAKHIMPUR,2014,Rabi       ,Sweet potato,230.00,835.00
Assam,LAKHIMPUR,2014,Rabi       ,Urad,2910.00,2213.00
Assam,LAKHIMPUR,2014,Rabi       ,Wheat,15.00,18.00
Assam,LAKHIMPUR,2014,Summer     ,Paddy,14700.00,26717.00
Assam,LAKHIMPUR,2014,Summer     ,Rice,14700.00,26717.00
Assam,LAKHIMPUR,2014,Whole Year ,Banana,2718.00,44697.00
Assam,LAKHIMPUR,2014,Whole Year ,Onion,400.00,1186.00
Assam,LAKHIMPUR,2014,Whole Year ,Potato,9623.00,42574.00
Assam,LAKHIMPUR,2014,Whole Year ,Sugarcane,326.00,15488.00
Assam,LAKHIMPUR,2014,Whole Year ,Turmeric,900.00,689.00
Assam,LAKHIMPUR,2014,Winter     ,Paddy,102605.00,224011.00
Assam,LAKHIMPUR,2014,Winter     ,Rice,102605.00,224011.00
Assam,MARIGAON,1997,Autumn     ,Rice,27010.00,14050.00
Assam,MARIGAON,1997,Kharif     ,Arhar/Tur,180.00,120.00
Assam,MARIGAON,1997,Kharif     ,Castor seed,20.00,4.00
Assam,MARIGAON,1997,Kharif     ,Cotton(lint),16.00,6.00
Assam,MARIGAON,1997,Kharif     ,Jute,6660.00,66045.00
Assam,MARIGAON,1997,Kharif     ,Maize,79.00,32.00
Assam,MARIGAON,1997,Kharif     ,Mesta,320.00,1209.00
Assam,MARIGAON,1997,Kharif     ,Small millets,325.00,139.00
Assam,MARIGAON,1997,Kharif     ,Sugarcane,670.00,30606.00
Assam,MARIGAON,1997,Rabi       ,Gram,200.00,65.00
Assam,MARIGAON,1997,Rabi       ,Linseed,600.00,285.00
Assam,MARIGAON,1997,Rabi       ,Other  Rabi pulses,4950.00,3241.00
Assam,MARIGAON,1997,Rabi       ,Rapeseed &Mustard,12250.00,4312.00
Assam,MARIGAON,1997,Rabi       ,Wheat,8000.00,12288.00
Assam,MARIGAON,1997,Summer     ,Rice,32500.00,48230.00
Assam,MARIGAON,1997,Whole Year ,Arecanut,1403.00,821.00
Assam,MARIGAON,1997,Whole Year ,Coconut ,1330.00,15948.00
Assam,MARIGAON,1997,Whole Year ,Dry chillies,700.00,420.00
Assam,MARIGAON,1997,Whole Year ,Niger seed,600.00,300.00
Assam,MARIGAON,1997,Whole Year ,Onion,550.00,1540.00
Assam,MARIGAON,1997,Whole Year ,Potato,1100.00,7000.00
Assam,MARIGAON,1997,Whole Year ,Sesamum,920.00,460.00
Assam,MARIGAON,1997,Whole Year ,Sweet potato,300.00,900.00
Assam,MARIGAON,1997,Whole Year ,Tapioca,10.00,50.00
Assam,MARIGAON,1997,Whole Year ,Tobacco,20.00,4.00
Assam,MARIGAON,1997,Whole Year ,Turmeric,350.00,280.00
Assam,MARIGAON,1997,Winter     ,Rice,38500.00,30515.00
Assam,MARIGAON,1998,Autumn     ,Rice,25500.00,14804.00
Assam,MARIGAON,1998,Kharif     ,Arhar/Tur,180.00,120.00
Assam,MARIGAON,1998,Kharif     ,Castor seed,20.00,4.00
Assam,MARIGAON,1998,Kharif     ,Cotton(lint),17.00,7.00
Assam,MARIGAON,1998,Kharif     ,Jute,6000.00,59867.00
Assam,MARIGAON,1998,Kharif     ,Maize,79.00,32.00
Assam,MARIGAON,1998,Kharif     ,Mesta,279.00,961.00
Assam,MARIGAON,1998,Kharif     ,Niger seed,350.00,175.00
Assam,MARIGAON,1998,Kharif     ,Sesamum,920.00,400.00
Assam,MARIGAON,1998,Kharif     ,Small millets,350.00,155.00
Assam,MARIGAON,1998,Rabi       ,Gram,250.00,69.00
Assam,MARIGAON,1998,Rabi       ,Linseed,600.00,285.00
Assam,MARIGAON,1998,Rabi       ,Other  Rabi pulses,4440.00,2634.00
Assam,MARIGAON,1998,Rabi       ,Rapeseed &Mustard,12500.00,4975.00
Assam,MARIGAON,1998,Rabi       ,Wheat,8500.00,11254.00
Assam,MARIGAON,1998,Summer     ,Rice,40000.00,103600.00
Assam,MARIGAON,1998,Whole Year ,Arecanut,1403.00,1239.00
Assam,MARIGAON,1998,Whole Year ,Banana,460.00,5520.00
Assam,MARIGAON,1998,Whole Year ,Coconut ,1360.00,9382000.00
Assam,MARIGAON,1998,Whole Year ,Dry chillies,680.00,408.00
Assam,MARIGAON,1998,Whole Year ,Onion,600.00,1680.00
Assam,MARIGAON,1998,Whole Year ,Potato,800.00,3727.00
Assam,MARIGAON,1998,Whole Year ,Sugarcane,670.00,30856.00
Assam,MARIGAON,1998,Whole Year ,Sweet potato,350.00,1050.00
Assam,MARIGAON,1998,Whole Year ,Tapioca,10.00,50.00
Assam,MARIGAON,1998,Whole Year ,Tobacco,20.00,5.00
Assam,MARIGAON,1998,Whole Year ,Turmeric,350.00,280.00
Assam,MARIGAON,1998,Winter     ,Rice,45000.00,51151.00
Assam,MARIGAON,1999,Autumn     ,Rice,19600.00,14812.00
Assam,MARIGAON,1999,Kharif     ,Arhar/Tur,300.00,200.00
Assam,MARIGAON,1999,Kharif     ,Castor seed,20.00,4.00
Assam,MARIGAON,1999,Kharif     ,Cotton(lint),14.00,6.00
Assam,MARIGAON,1999,Kharif     ,Jute,6000.00,62333.00
Assam,MARIGAON,1999,Kharif     ,Maize,80.00,32.00
Assam,MARIGAON,1999,Kharif     ,Mesta,272.00,967.00
Assam,MARIGAON,1999,Kharif     ,Niger seed,300.00,150.00
Assam,MARIGAON,1999,Kharif     ,Sesamum,500.00,250.00
Assam,MARIGAON,1999,Kharif     ,Small millets,350.00,157.00
Assam,MARIGAON,1999,Rabi       ,Gram,150.00,41.00
Assam,MARIGAON,1999,Rabi       ,Linseed,250.00,119.00
Assam,MARIGAON,1999,Rabi       ,Other  Rabi pulses,2800.00,1746.00
Assam,MARIGAON,1999,Rabi       ,Rapeseed &Mustard,7500.00,2438.00
Assam,MARIGAON,1999,Rabi       ,Wheat,6000.00,6984.00
Assam,MARIGAON,1999,Summer     ,Rice,45000.00,129060.00
Assam,MARIGAON,1999,Whole Year ,Arecanut,1400.00,1214.00
Assam,MARIGAON,1999,Whole Year ,Banana,470.00,5640.00
Assam,MARIGAON,1999,Whole Year ,Coconut ,1300.00,6070000.00
Assam,MARIGAON,1999,Whole Year ,Dry chillies,600.00,360.00
Assam,MARIGAON,1999,Whole Year ,Onion,400.00,1060.00
Assam,MARIGAON,1999,Whole Year ,Potato,650.00,3173.00
Assam,MARIGAON,1999,Whole Year ,Sugarcane,670.00,28354.00
Assam,MARIGAON,1999,Whole Year ,Sweet potato,360.00,1152.00
Assam,MARIGAON,1999,Whole Year ,Tapioca,15.00,75.00
Assam,MARIGAON,1999,Whole Year ,Tobacco,20.00,5.00
Assam,MARIGAON,1999,Whole Year ,Turmeric,350.00,280.00
Assam,MARIGAON,1999,Winter     ,Rice,50000.00,77667.00
Assam,MARIGAON,2000,Autumn     ,Rice,15000.00,11350.00
Assam,MARIGAON,2000,Kharif     ,Arhar/Tur,300.00,200.00
Assam,MARIGAON,2000,Kharif     ,Castor seed,20.00,4.00
Assam,MARIGAON,2000,Kharif     ,Cotton(lint),14.00,6.00
Assam,MARIGAON,2000,Kharif     ,Jute,5000.00,48439.00
Assam,MARIGAON,2000,Kharif     ,Maize,80.00,32.00
Assam,MARIGAON,2000,Kharif     ,Mesta,200.00,719.00
Assam,MARIGAON,2000,Kharif     ,Niger seed,250.00,125.00
Assam,MARIGAON,2000,Kharif     ,Sesamum,400.00,200.00
Assam,MARIGAON,2000,Kharif     ,Small millets,350.00,154.00
Assam,MARIGAON,2000,Rabi       ,Gram,150.00,41.00
Assam,MARIGAON,2000,Rabi       ,Linseed,250.00,119.00
Assam,MARIGAON,2000,Rabi       ,Other  Rabi pulses,1550.00,870.00
Assam,MARIGAON,2000,Rabi       ,Rapeseed &Mustard,4500.00,2291.00
Assam,MARIGAON,2000,Rabi       ,Wheat,5000.00,5760.00
Assam,MARIGAON,2000,Summer     ,Rice,42000.00,115206.00
Assam,MARIGAON,2000,Whole Year ,Arecanut,1400.00,478.00
Assam,MARIGAON,2000,Whole Year ,Banana,500.00,6000.00
Assam,MARIGAON,2000,Whole Year ,Coconut ,1300.00,7307000.00
Assam,MARIGAON,2000,Whole Year ,Dry chillies,600.00,360.00
Assam,MARIGAON,2000,Whole Year ,Onion,400.00,1060.00
Assam,MARIGAON,2000,Whole Year ,Potato,630.00,3140.00
Assam,MARIGAON,2000,Whole Year ,Sugarcane,650.00,27404.00
Assam,MARIGAON,2000,Whole Year ,Sweet potato,300.00,960.00
Assam,MARIGAON,2000,Whole Year ,Tapioca,10.00,50.00
Assam,MARIGAON,2000,Whole Year ,Tobacco,20.00,2.00
Assam,MARIGAON,2000,Whole Year ,Turmeric,300.00,240.00
Assam,MARIGAON,2000,Winter     ,Rice,47000.00,80044.00
Assam,MARIGAON,2001,Autumn     ,Rice,13500.00,7572.00
Assam,MARIGAON,2001,Kharif     ,Arhar/Tur,240.00,160.00
Assam,MARIGAON,2001,Kharif     ,Castor seed,20.00,4.00
Assam,MARIGAON,2001,Kharif     ,Cotton(lint),14.00,6.00
Assam,MARIGAON,2001,Kharif     ,Jute,4000.00,41111.00
Assam,MARIGAON,2001,Kharif     ,Maize,60.00,24.00
